item	itemLabel	birth_name	family_name	family_nameLabel	given_name	given_nameLabel
http://www.wikidata.org/entity/Q5361084	Elin Jones		http://www.wikidata.org/entity/Q59853	Jones	http://www.wikidata.org/entity/Q19833184	Elin
http://www.wikidata.org/entity/Q5361084	Elin Jones		http://www.wikidata.org/entity/Q59853	Jones	http://www.wikidata.org/entity/Q19833184	Elin
http://www.wikidata.org/entity/Q5522883	Gareth Jones		http://www.wikidata.org/entity/Q59853	Jones	http://www.wikidata.org/entity/Q15628901	Gareth
http://www.wikidata.org/entity/Q5548808	Geraint Davies		http://www.wikidata.org/entity/Q1177810	Davies	http://www.wikidata.org/entity/Q21018632	Geraint
http://www.wikidata.org/entity/Q5660402	Kirsty Williams		http://www.wikidata.org/entity/Q1688722	Williams	http://www.wikidata.org/entity/Q3197419	Kirsty
http://www.wikidata.org/entity/Q5660402	Kirsty Williams		http://www.wikidata.org/entity/Q1688722	Williams	http://www.wikidata.org/entity/Q3197419	Kirsty
http://www.wikidata.org/entity/Q5951262	Huw Lewis		http://www.wikidata.org/entity/Q426463	Lewis	http://www.wikidata.org/entity/Q18145318	Huw
http://www.wikidata.org/entity/Q5951262	Huw Lewis		http://www.wikidata.org/entity/Q426463	Lewis	http://www.wikidata.org/entity/Q18145318	Huw
http://www.wikidata.org/entity/Q6152128	Jane Davidson		http://www.wikidata.org/entity/Q13479473	Davidson	http://www.wikidata.org/entity/Q1682564	Jane
http://www.wikidata.org/entity/Q6152128	Jane Davidson		http://www.wikidata.org/entity/Q13479473	Davidson	http://www.wikidata.org/entity/Q1682564	Jane
http://www.wikidata.org/entity/Q6152404	Jane Hutt		http://www.wikidata.org/entity/Q16870942	Hutt	http://www.wikidata.org/entity/Q1682564	Jane
http://www.wikidata.org/entity/Q6152404	Jane Hutt		http://www.wikidata.org/entity/Q16870942	Hutt	http://www.wikidata.org/entity/Q1682564	Jane
http://www.wikidata.org/entity/Q6153289	Janet Davies		http://www.wikidata.org/entity/Q1177810	Davies	http://www.wikidata.org/entity/Q13553631	Janet
http://www.wikidata.org/entity/Q6153592	Janet Ryder		http://www.wikidata.org/entity/Q16281067	Ryder	http://www.wikidata.org/entity/Q13553631	Janet
http://www.wikidata.org/entity/Q6154241	Janice Gregory		http://www.wikidata.org/entity/Q1333689	Gregory	http://www.wikidata.org/entity/Q16277291	Janice
http://www.wikidata.org/entity/Q6207115	Jocelyn Davies		http://www.wikidata.org/entity/Q1177810	Davies	http://www.wikidata.org/entity/Q3808609	Jocelyn
http://www.wikidata.org/entity/Q6207115	Jocelyn Davies		http://www.wikidata.org/entity/Q1177810	Davies	http://www.wikidata.org/entity/Q3808609	Jocelyn
http://www.wikidata.org/entity/Q6236400	John Griffiths		http://www.wikidata.org/entity/Q263542	Griffith	http://www.wikidata.org/entity/Q4925477	John
http://www.wikidata.org/entity/Q6246713	John Marek				http://www.wikidata.org/entity/Q4925477	John
http://www.wikidata.org/entity/Q6246713	John Marek				http://www.wikidata.org/entity/Q4925477	John
http://www.wikidata.org/entity/Q6370035	Karen Sinclair		http://www.wikidata.org/entity/Q16883357	Sinclair	http://www.wikidata.org/entity/Q1221747	Karen
http://www.wikidata.org/entity/Q6370035	Karen Sinclair		http://www.wikidata.org/entity/Q16883357	Sinclair	http://www.wikidata.org/entity/Q1221747	Karen
http://www.wikidata.org/entity/Q6557998	Lisa Francis				http://www.wikidata.org/entity/Q1588186	Lisa
http://www.wikidata.org/entity/Q6709399	Lynne Neagle				http://www.wikidata.org/entity/Q19830569	Lynne
http://www.wikidata.org/entity/Q6709399	Lynne Neagle				http://www.wikidata.org/entity/Q19830569	Lynne
http://www.wikidata.org/entity/Q6768190	Mark Isherwood				http://www.wikidata.org/entity/Q13610143	Mark
http://www.wikidata.org/entity/Q6838058	Mick Bates		http://www.wikidata.org/entity/Q16479442	Bates	http://www.wikidata.org/entity/Q1931313	Mick
http://www.wikidata.org/entity/Q7026799	Nick Bourne				http://www.wikidata.org/entity/Q13137230	Nick
http://www.wikidata.org/entity/Q7026799	Nick Bourne				http://www.wikidata.org/entity/Q13137230	Nick
http://www.wikidata.org/entity/Q7114528	Owen John Thomas		http://www.wikidata.org/entity/Q1413324	Thomas	http://www.wikidata.org/entity/Q3887735	Owen
